Band	Description
[178.98, 179.02] Hz 	Comb with fundamental freq 20 and spacing 1
[179.89, 180.11] Hz 	Power Lines
[179.98, 180.02] Hz 	Comb with fundamental freq 20 and spacing 1
[180.98, 181.02] Hz 	Comb with fundamental freq 20 and spacing 1
[181.42, 181.58] Hz 	V1 third order harmonic of calibration line at 60.5 - identified by CW people
[181.98, 182.02] Hz 	Comb with fundamental freq 20 and spacing 1
[182.92, 183.08] Hz 	V1 third order harmonic of calibration line at 61 - identified by CW people
[182.98, 183.02] Hz 	Comb with fundamental freq 20 and spacing 1
[183.98, 184.02] Hz 	Comb with fundamental freq 20 and spacing 1
[184.42, 184.58] Hz 	V1 third order harmonic of calibration line at 61.5 - identified by CW people
[184.98, 185.02] Hz 	Comb with fundamental freq 20 and spacing 1
[185.98, 186.02] Hz 	Comb with fundamental freq 20 and spacing 1
[186.98, 187.02] Hz 	Comb with fundamental freq 20 and spacing 1
[187.42, 187.58] Hz 	V1 third order harmonic of calibration line at 62.5 - identified by CW people
[187.98, 188.02] Hz 	Comb with fundamental freq 20 and spacing 1
[188.92, 189.08] Hz 	V1 third order harmonic of calibration line at 63 - identified by CW people
[188.98, 189.02] Hz 	Comb with fundamental freq 20 and spacing 1
[189.80, 190.14] Hz 	Pulsar injection
[189.98, 190.02] Hz 	Comb with fundamental freq 20 and spacing 1
[190.42, 190.58] Hz 	V1 third order harmonic of calibration line at 63.5 - identified by CW people
[190.98, 191.02] Hz 	Comb with fundamental freq 20 and spacing 1
[191.98, 192.02] Hz 	Comb with fundamental freq 20 and spacing 1
[192.98, 193.02] Hz 	Comb with fundamental freq 20 and spacing 1
[193.98, 194.02] Hz 	Comb with fundamental freq 20 and spacing 1
[194.98, 195.02] Hz 	Comb with fundamental freq 20 and spacing 1
[195.98, 196.02] Hz 	Comb with fundamental freq 20 and spacing 1
[196.98, 197.02] Hz 	Comb with fundamental freq 20 and spacing 1
[197.98, 198.02] Hz 	Comb with fundamental freq 20 and spacing 1
[198.98, 199.02] Hz 	Comb with fundamental freq 20 and spacing 1
[199.89, 200.11] Hz 	Power Lines
[199.98, 200.02] Hz 	Comb with fundamental freq 20 and spacing 1
[200.98, 201.02] Hz 	Comb with fundamental freq 20 and spacing 1
[201.98, 202.02] Hz 	Comb with fundamental freq 20 and spacing 1
[202.98, 203.02] Hz 	Comb with fundamental freq 20 and spacing 1
[203.98, 204.02] Hz 	Comb with fundamental freq 20 and spacing 1
[204.98, 205.02] Hz 	Comb with fundamental freq 20 and spacing 1
[205.98, 206.02] Hz 	Comb with fundamental freq 20 and spacing 1
[206.42, 206.58] Hz 	V1 WE EM calibration line
[206.98, 207.02] Hz 	Comb with fundamental freq 20 and spacing 1
[207.98, 208.02] Hz 	Comb with fundamental freq 20 and spacing 1
[208.98, 209.02] Hz 	Comb with fundamental freq 20 and spacing 1
[209.98, 210.02] Hz 	Comb with fundamental freq 20 and spacing 1
[210.98, 211.02] Hz 	Comb with fundamental freq 20 and spacing 1
[211.98, 212.02] Hz 	Comb with fundamental freq 20 and spacing 1
[212.98, 213.02] Hz 	Comb with fundamental freq 20 and spacing 1
[213.98, 214.02] Hz 	Comb with fundamental freq 20 and spacing 1
[214.98, 215.02] Hz 	Comb with fundamental freq 20 and spacing 1
[215.98, 216.02] Hz 	Comb with fundamental freq 20 and spacing 1
[216.98, 217.02] Hz 	Comb with fundamental freq 20 and spacing 1
[217.98, 218.02] Hz 	Comb with fundamental freq 20 and spacing 1
[218.98, 219.02] Hz 	Comb with fundamental freq 20 and spacing 1
[219.98, 220.02] Hz 	Comb with fundamental freq 20 and spacing 1
[220.98, 221.02] Hz 	Comb with fundamental freq 20 and spacing 1
[221.98, 222.02] Hz 	Comb with fundamental freq 20 and spacing 1
[222.98, 223.02] Hz 	Comb with fundamental freq 20 and spacing 1
[223.98, 224.02] Hz 	Comb with fundamental freq 20 and spacing 1
[224.98, 225.02] Hz 	Comb with fundamental freq 20 and spacing 1
[225.98, 226.02] Hz 	Comb with fundamental freq 20 and spacing 1
[226.98, 227.02] Hz 	Comb with fundamental freq 20 and spacing 1
[227.98, 228.02] Hz 	Comb with fundamental freq 20 and spacing 1
[228.98, 229.02] Hz 	Comb with fundamental freq 20 and spacing 1
[229.98, 230.02] Hz 	Comb with fundamental freq 20 and spacing 1
[230.98, 231.02] Hz 	Comb with fundamental freq 20 and spacing 1
[231.98, 232.02] Hz 	Comb with fundamental freq 20 and spacing 1
[232.98, 233.02] Hz 	Comb with fundamental freq 20 and spacing 1
[233.98, 234.02] Hz 	Comb with fundamental freq 20 and spacing 1
[234.52, 234.61] Hz 	Pulsar injection
[234.98, 235.02] Hz 	Comb with fundamental freq 20 and spacing 1
[235.98, 236.02] Hz 	Comb with fundamental freq 20 and spacing 1
[236.98, 237.02] Hz 	Comb with fundamental freq 20 and spacing 1
[237.98, 238.02] Hz 	Comb with fundamental freq 20 and spacing 1
[238.98, 239.02] Hz 	Comb with fundamental freq 20 and spacing 1
[239.89, 240.11] Hz 	Power Lines
[239.98, 240.02] Hz 	Comb with fundamental freq 20 and spacing 1
[240.98, 241.02] Hz 	Comb with fundamental freq 20 and spacing 1
[241.98, 242.02] Hz 	Comb with fundamental freq 20 and spacing 1
[242.98, 243.02] Hz 	Comb with fundamental freq 20 and spacing 1
[243.98, 244.02] Hz 	Comb with fundamental freq 20 and spacing 1
[244.98, 245.02] Hz 	Comb with fundamental freq 20 and spacing 1
[245.98, 246.02] Hz 	Comb with fundamental freq 20 and spacing 1
[246.98, 247.02] Hz 	Comb with fundamental freq 20 and spacing 1
[247.98, 248.02] Hz 	Comb with fundamental freq 20 and spacing 1
[248.98, 249.02] Hz 	Comb with fundamental freq 20 and spacing 1
[249.89, 250.11] Hz 	Power Lines
[249.98, 250.02] Hz 	Comb with fundamental freq 20 and spacing 1
[250.98, 251.02] Hz 	Comb with fundamental freq 20 and spacing 1
[251.98, 252.02] Hz 	Comb with fundamental freq 20 and spacing 1
[252.98, 253.02] Hz 	Comb with fundamental freq 20 and spacing 1
[253.98, 254.02] Hz 	Comb with fundamental freq 20 and spacing 1
[254.98, 255.02] Hz 	Comb with fundamental freq 20 and spacing 1
[255.98, 256.02] Hz 	Comb with fundamental freq 20 and spacing 1
[256.98, 257.02] Hz 	Comb with fundamental freq 20 and spacing 1
[257.98, 258.02] Hz 	Comb with fundamental freq 20 and spacing 1
[258.98, 259.02] Hz 	Comb with fundamental freq 20 and spacing 1
[259.98, 260.02] Hz 	Comb with fundamental freq 20 and spacing 1
[260.98, 261.02] Hz 	Comb with fundamental freq 20 and spacing 1
[261.98, 262.02] Hz 	Comb with fundamental freq 20 and spacing 1
[262.98, 263.02] Hz 	Comb with fundamental freq 20 and spacing 1
[263.98, 264.02] Hz 	Comb with fundamental freq 20 and spacing 1
[264.98, 265.02] Hz 	Comb with fundamental freq 20 and spacing 1
[265.52, 265.61] Hz 	Pulsar injection
[265.98, 266.02] Hz 	Comb with fundamental freq 20 and spacing 1
[266.98, 267.02] Hz 	Comb with fundamental freq 20 and spacing 1
[267.98, 268.02] Hz 	Comb with fundamental freq 20 and spacing 1
[268.98, 269.02] Hz 	Comb with fundamental freq 20 and spacing 1
[269.98, 270.02] Hz 	Comb with fundamental freq 20 and spacing 1
[270.98, 271.02] Hz 	Comb with fundamental freq 20 and spacing 1
[271.98, 272.02] Hz 	Comb with fundamental freq 20 and spacing 1
[272.98, 273.02] Hz 	Comb with fundamental freq 20 and spacing 1
[273.98, 274.02] Hz 	Comb with fundamental freq 20 and spacing 1
[274.98, 275.02] Hz 	Comb with fundamental freq 20 and spacing 1
[275.98, 276.02] Hz 	Comb with fundamental freq 20 and spacing 1
[276.98, 277.02] Hz 	Comb with fundamental freq 20 and spacing 1
[274.98, 281.02] Hz 	BS Violin mode 1st harmonic
[277.98, 278.02] Hz 	Comb with fundamental freq 20 and spacing 1
[278.98, 279.02] Hz 	Comb with fundamental freq 20 and spacing 1
[279.98, 280.02] Hz 	Comb with fundamental freq 20 and spacing 1
[280.98, 281.02] Hz 	Comb with fundamental freq 20 and spacing 1
[281.98, 282.02] Hz 	Comb with fundamental freq 20 and spacing 1
[282.98, 283.02] Hz 	Comb with fundamental freq 20 and spacing 1
[283.98, 284.02] Hz 	Comb with fundamental freq 20 and spacing 1
[284.98, 285.02] Hz 	Comb with fundamental freq 20 and spacing 1
[285.98, 286.02] Hz 	Comb with fundamental freq 20 and spacing 1
[286.98, 287.02] Hz 	Comb with fundamental freq 20 and spacing 1
[287.98, 288.02] Hz 	Comb with fundamental freq 20 and spacing 1
[288.98, 289.02] Hz 	Comb with fundamental freq 20 and spacing 1
[289.98, 290.02] Hz 	Comb with fundamental freq 20 and spacing 1
[290.98, 291.02] Hz 	Comb with fundamental freq 20 and spacing 1
[291.98, 292.02] Hz 	Comb with fundamental freq 20 and spacing 1
[292.98, 293.02] Hz 	Comb with fundamental freq 20 and spacing 1
[293.98, 294.02] Hz 	Comb with fundamental freq 20 and spacing 1
[294.98, 295.02] Hz 	Comb with fundamental freq 20 and spacing 1
[295.98, 296.02] Hz 	Comb with fundamental freq 20 and spacing 1
[295.92, 296.08] Hz 	environmental identification: broadband coherence with V CEB_MAG_N and narrowband coherence with other magnetometers
[296.98, 297.02] Hz 	Comb with fundamental freq 20 and spacing 1
[297.98, 298.02] Hz 	Comb with fundamental freq 20 and spacing 1
[298.98, 299.02] Hz 	Comb with fundamental freq 20 and spacing 1
[299.89, 300.11] Hz 	Power Lines
[299.89, 300.11] Hz 	Power Lines
[299.98, 300.02] Hz 	Comb with fundamental freq 20 and spacing 1
[300.98, 301.02] Hz 	Comb with fundamental freq 20 and spacing 1
[301.98, 302.02] Hz 	Comb with fundamental freq 20 and spacing 1
[302.98, 303.02] Hz 	Comb with fundamental freq 20 and spacing 1
[303.98, 304.02] Hz 	Comb with fundamental freq 20 and spacing 1
[304.98, 305.02] Hz 	Comb with fundamental freq 20 and spacing 1
[305.98, 306.02] Hz 	Comb with fundamental freq 20 and spacing 1
[306.98, 307.02] Hz 	Comb with fundamental freq 20 and spacing 1
[307.98, 308.02] Hz 	Comb with fundamental freq 20 and spacing 1
[308.98, 309.02] Hz 	Comb with fundamental freq 20 and spacing 1
[309.98, 310.02] Hz 	Comb with fundamental freq 20 and spacing 1
[310.98, 311.02] Hz 	Comb with fundamental freq 20 and spacing 1
[311.98, 312.02] Hz 	Comb with fundamental freq 20 and spacing 1
[312.98, 313.02] Hz 	Comb with fundamental freq 20 and spacing 1
[313.98, 314.02] Hz 	Comb with fundamental freq 20 and spacing 1
[314.98, 315.02] Hz 	Comb with fundamental freq 20 and spacing 1
[315.98, 316.02] Hz 	Comb with fundamental freq 20 and spacing 1
[316.98, 317.02] Hz 	Comb with fundamental freq 20 and spacing 1
[317.98, 318.02] Hz 	Comb with fundamental freq 20 and spacing 1
[318.98, 319.02] Hz 	Comb with fundamental freq 20 and spacing 1
[319.98, 320.02] Hz 	Comb with fundamental freq 20 and spacing 1
[320.98, 321.02] Hz 	Comb with fundamental freq 20 and spacing 1
[321.98, 322.02] Hz 	Comb with fundamental freq 20 and spacing 1
[322.98, 323.02] Hz 	Comb with fundamental freq 20 and spacing 1
[323.98, 324.02] Hz 	Comb with fundamental freq 20 and spacing 1
[324.98, 325.02] Hz 	Comb with fundamental freq 20 and spacing 1
[325.98, 326.02] Hz 	Comb with fundamental freq 20 and spacing 1
[326.98, 327.02] Hz 	Comb with fundamental freq 20 and spacing 1
[327.98, 328.02] Hz 	Comb with fundamental freq 20 and spacing 1
[328.98, 329.02] Hz 	Comb with fundamental freq 20 and spacing 1
[329.98, 330.02] Hz 	Comb with fundamental freq 20 and spacing 1
[330.98, 331.02] Hz 	Comb with fundamental freq 20 and spacing 1
[331.39, 332.42] Hz 	H1 calibration line
[331.98, 332.02] Hz 	Comb with fundamental freq 20 and spacing 1
[332.98, 333.02] Hz 	Comb with fundamental freq 20 and spacing 1
[333.98, 334.02] Hz 	Comb with fundamental freq 20 and spacing 1
[334.98, 335.02] Hz 	Comb with fundamental freq 20 and spacing 1
[335.98, 336.02] Hz 	Comb with fundamental freq 20 and spacing 1
[336.98, 337.02] Hz 	Comb with fundamental freq 20 and spacing 1
[337.98, 338.02] Hz 	Comb with fundamental freq 20 and spacing 1
[338.98, 339.02] Hz 	Comb with fundamental freq 20 and spacing 1
[339.98, 340.02] Hz 	Comb with fundamental freq 20 and spacing 1
[340.98, 341.02] Hz 	Comb with fundamental freq 20 and spacing 1
[341.98, 342.02] Hz 	Comb with fundamental freq 20 and spacing 1
